ID,"Scientific Name","Common Name","Native Status",County
1756,"Anatherum glomeratum (Walter) Vorontsova & E.A. Kellogg","Bushy Bluestem",N,Fauquier
447,"Anatherum gyrans (Ashe) Vorontsova & E.A. Kellogg","Elliott's Bluestem",N,Fauquier
438,"Anatherum virginicum (Linnaeus) Sprengel var. virginicum","Broomsedge, Broomstraw, Sedge Grass, Sage Grass",N,Fauquier
358,"Andersonglossum virginianum (L.) J.I. Cohen","Wild Comfrey",N,Fauquier
468,"Andropogon gerardii Vitman","Big Bluestem, Turkeyfoot",N,Fauquier
2530,"Anemone blanda Schott & Kotschy","Grecian Windflower",I,Fauquier
2534,"Anemone quinquefolia L. var. quinquefolia","Wood Anemone",N,Fauquier
2535,"Anemone virginiana L. var. virginiana","Thimbleweed, Tall Anemone",N,Fauquier
747,"Anethum graveolens L.",Dill,I,Fauquier
1974,"Angelica venenosa (Greenway) Fern.","Hairy Angelica",N,Fauquier
528,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer","Howell's Pussytoes",N,Fauquier
1815,"Antennaria howellii Greene ssp. petaloidea (Greene) Bayer","Small Pussytoes",N,Fauquier
527,"Antennaria neglecta Greene","Field Pussytoes",N,Fauquier
1814,"Antennaria parlinii Fern. ssp. fallax (Greene) Bayer & Stebbins","Big-head Pussytoes",N,Fauquier
1813,"Antennaria parlinii Fern. ssp. parlinii","Parlin's Pussytoes",N,Fauquier
525,"Antennaria plantaginifolia (L.) Richards.","Plantain-leaved Pussytoes",N,Fauquier
519,"Antennaria virginica Stebbins","Shale-barren Pussytoes",N,Fauquier
518,"Anthemis arvensis L.","Corn Chamomile",I,Fauquier
1812,"Anthemis cotula L.","Mayweed, Stinking Chamomile",I,Fauquier
435,"Anthoxanthum odoratum L.","Sweet Vernal Grass",I,Fauquier
1972,"Anthriscus cerefolium (L.) Hoffmann","Garden Chervil",I,Fauquier
3088,"Aphyllon uniflorum L.",Cancer-root,N,Fauquier
2539,"Apios americana Medik.",Groundnut,N,Fauquier
157,"Aplectrum hyemale (Muhl. ex Willd.) Torrey","Puttyroot, Adam-and-Eve",N,Fauquier
1913,"Apocynum androsaemifolium L.","Spreading Dogbane",N,Fauquier
1911,"Apocynum cannabinum L.","Indian Hemp, Hemp Dogbane",N,Fauquier
4761,"Apocynum floribundum Greene","Intermediate Dogbane",N,Fauquier
1910,"Apocynum sibiricum Jacq.","Clasping-leaved Dogbane",N,Fauquier
2540,"Aquilegia canadensis L.","Wild Columbine, Eastern Red Columbine",N,Fauquier
